"categoria","data","lancamento","valor","dt_competencia"
Aluguel,2022-08-19,Quintoandar       05/05,45.8,2025-03-06
Utilidade Casa,2022-09-09,Leroy Merlin      04/04,109.73,2025-03-06
Planos,2022-09-11,Elaza Comercial Va04/10,290.0,2025-03-06
Eletrônico,2022-09-13,Aliexpress        04/06,20.87,2025-03-06
Eletrônico,2022-09-13,Aliexpress        04/06,20.1,2025-03-06
Vestimenta,2022-09-16,Renner            04/05,43.96,2025-03-06
Outros,2022-10-29,Leroy Merlin,-0.01,2025-03-06
Pet,2022-10-29,Cobasi Imigrantes,-0.09,2025-03-06
Pet,2022-10-29,Cobasi Imigrantes 02/04,99.82,2025-03-06
Utilidade Casa,2022-10-29,Leroy Merlin      02/02,113.95,2025-03-06
Utilidade Casa,2022-11-12,Mundo Da Uti-ct De02/02,70.36,2025-03-06
Alimentação,2022-11-26,Pao De Acucar-1717,134.57,2025-03-06
Assinatura,2022-11-27,Anuidade Diferenci06/08,54.0,2025-03-06
Restaurante,2022-11-30,Ifood       *ifood,79.19,2025-03-06
Restaurante,2022-12-03,Ifood       *ifood,58.5,2025-03-06
Produtos Saúde,2022-12-04,Drogaria Sao Paulo01/02,71.73,2025-03-06
Alimentação,2022-12-06,Francisco Mekaru,36.0,2025-03-06
Alimentação,2022-12-06,Pag*silviolu-ct Mara,12.0,2025-03-06
Alimentação,2022-12-06,Pag*equipeprogresso,36.0,2025-03-06
Alimentação,2022-12-06,Cosmoferreir-ct,12.0,2025-03-06
Alimentação,2022-12-06,Betocacherro-ct,10.0,2025-03-06
Restaurante,2022-12-07,Ifood       *ifood,43.89,2025-03-06
Outros,2022-12-08,Pag*xsollaepic,38.0,2025-03-06
Necessários,2022-12-10,Loft Quiosqu-ct,89.9,2025-03-06
Alimentação,2022-12-10,Neide Peres -ct Ano Me,38.8,2025-03-06
Celular,2022-12-12,Vivo Easy,29.99,2025-03-06
Produtos Saúde,2022-12-12,Drogaria Paulino,51.46,2025-03-06
Produtos Saúde,2022-12-12,Drogaria Sao-ct Lo 002,68.41,2025-03-06
Outros,2022-12-14,Pag*steam         01/03,30.67,2025-03-06
Combustível,2022-12-26,Centro A A M Ltda,158.73,2025-03-06
Restaurante,2022-12-26,Imigrantes B-ct As,67.98,2025-03-06
Utilidade Casa,2022-10-01,Precolandia       03/03,38.54,2025-03-06
Pet,2022-11-02,Clin Vet Pets Isla02/02,94.0,2025-03-06
Alimentação,2022-11-29,Cornershop Brasil Tecn,54.8,2025-03-06
Alimentação,2022-11-29,Cornershop Brasil Tecn,168.36,2025-03-06
Alimentação,2022-12-16,Cornershop Brasil Tecn,11.31,2025-03-06
Alimentação,2022-12-16,Cornershop Brasil Tecn,280.14,2025-03-06
Alimentação,2022-12-22,Cinco M Comercio Ataca,340.56,2025-03-06
Planos,2022-09-09,Mercadolivre*merca04/06,16.65,2025-03-06
Utilidade Casa,2022-09-27,Pg *flash Compras 03/04,50.49,2025-03-06
Utilidade Casa,2022-09-27,Amazon.com.br     03/06,54.12,2025-03-06
Eletrônico,2022-09-27,Mercadolivre*merca03/06,12.13,2025-03-06
Utilidade Casa,2022-10-03,Openbox 2         03/03,58.77,2025-03-06
Eletrônico,2022-10-04,Mercadolivre*merca03/06,14.64,2025-03-06
Outros,2022-10-05,Ebw*shopee        03/03,20.01,2025-03-06
Outros,2022-10-07,Mercadolivre*merca03/03,6.64,2025-03-06
Pet,2022-10-18,Amazon Marketplace03/03,50.0,2025-03-06
Utilidade Casa,2022-10-22,Brastemp E Rede   03/10,208.9,2025-03-06
Manutenção,2022-11-09,Mercadolivre*merca02/03,78.22,2025-03-06
Outros,2022-11-21,Mercadolivre*merca02/03,11.51,2025-03-06
Alimentação,2022-11-26,Market4u*compra*101351,18.47,2025-03-06
Eletrônico,2022-11-26,Kabum             01/10,299.9,2025-03-06
Manutenção,2022-11-28,Mercadolivre*mercadol,-234.66,2025-03-06
Manutenção,2022-11-29,Mercadolivre*mercadol,45.1,2025-03-06
Manutenção,2022-11-29,Mercadolivre*merca01/04,49.46,2025-03-06
Ferramentas,2022-11-30,Mercadolivre*mercadoli,59.9,2025-03-06
Livros,2022-11-30,Amazon.com.br,290.12,2025-03-06
Manutenção,2022-11-30,Mercadolivre*merca01/03,29.92,2025-03-06
Vestimenta,2022-11-30,Ebw*shopee        01/02,26.55,2025-03-06
Livros,2022-11-30,Amazon.com.br,51.0,2025-03-06
Vestimenta,2022-12-01,Renner,59.89,2025-03-06
Ferramentas,2022-12-04,Mercadolivre*lacinhos,42.95,2025-03-06
Presentes,2022-12-05,Amazon.com.br,47.9,2025-03-06
Eletrônico,2022-12-07,Mercadolivre*rusheletr,99.99,2025-03-06
Alimentação,2022-12-09,Market4u*compra*103994,14.79,2025-03-06
Alimentação,2022-12-10,Market4u*compra*104566,13.98,2025-03-06
Pet,2022-12-10,Conectcar   *conectcar,50.0,2025-03-06
Alimentação,2022-12-11,Market4u*compra*105112,5.29,2025-03-06
Necessários,2022-12-11,Amazon-marketplace,17.99,2025-03-06
Pet,2022-12-11,Cobasi E Commerce 01/02,104.75,2025-03-06
Restaurante,2022-12-12,Ifd*esfiha Vergueiro,28.1,2025-03-06
Assinatura,2022-12-12,Amazonprimebr,12.1,2025-03-06
Assinatura,2022-12-13,Google Storage,34.99,2025-03-06
Necessários,2022-12-14,Mercadolivre*123smart,36.05,2025-03-06
Restaurante,2022-12-14,Ifd*habibs  Tancredo N,35.42,2025-03-06
Eletrônico,2022-12-14,Mercadolivre*merca01/10,98.9,2025-03-06
Internet,2022-12-15,Conta Vivo,259.64,2025-03-06
Restaurante,2022-12-15,Ifd*osnir Hamburguer,27.17,2025-03-06
Alimentação,2022-12-17,Market4u*compra*105112,19.67,2025-03-06
Restaurante,2022-12-19,Ifd*ifood.com Agencia,66.82,2025-03-06
Assinatura,2022-12-19,Google Youtubepremium,18.1,2025-03-06
Outros,2022-12-25,Ebw*shopee        01/02,15.1,2025-03-06
Alimentação,2022-12-26,Market4u*compra*108014,13.49,2025-03-06
Aluguel,2022-08-19,Quintoandar       04/05,45.8,2025-03-06
Utilidade Casa,2022-09-09,Leroy Merlin      03/04,109.73,2025-03-06
Planos,2022-09-11,Elaza Comercial Va03/10,290.0,2025-03-06
Eletrônico,2022-09-13,Aliexpress        03/06,20.87,2025-03-06
Eletrônico,2022-09-13,Aliexpress        03/06,20.1,2025-03-06
Pet,2022-09-15,Cobasi Imigrantes 03/03,116.64,2025-03-06
Vestimenta,2022-09-16,Renner            03/05,43.96,2025-03-06
Vestimenta,2022-10-12,Lojas Renner Fl 5202/02,69.95,2025-03-06
Assinatura,2022-10-28,Anuidade Diferenci05/08,54.0,2025-03-06
Combustível,2022-10-29,Centro A A M Ltda,157.02,2025-03-06
Restaurante,2022-10-29,Mr. Pretzels-ct,33.0,2025-03-06
Restaurante,2022-10-29,Market4u*compra*957006,0.01,2025-03-06
Pet,2022-10-29,Cobasi Imigrantes 01/04,99.82,2025-03-06
Utilidade Casa,2022-10-29,Leroy Merlin      01/02,113.95,2025-03-06
Utilidade Casa,2022-10-30,Telha Norte -ct,11.1,2025-03-06
Alimentação,2022-11-01,Pag*silviolu-ct Mara,11.0,2025-03-06
Alimentação,2022-11-01,Pag*edvaldod-ct Us,7.0,2025-03-06
Alimentação,2022-11-01,Pag*equipepr-ct Sso,26.0,2025-03-06
Alimentação,2022-11-01,Pag*gleiserl-ct Dos,25.0,2025-03-06
Alimentação,2022-11-01,Cacchero    -ct,7.0,2025-03-06
Alimentação,2022-11-01,Delcy       -ct,17.0,2025-03-06
Alimentação,2022-11-01,Cosmoferreir-ct,6.0,2025-03-06
Alimentação,2022-11-08,Francisco Me-ct,36.0,2025-03-06
Alimentação,2022-11-08,Pag*luizcarl-ct S,12.0,2025-03-06
Alimentação,2022-11-08,Betocacherro-ct,8.0,2025-03-06
Alimentação,2022-11-11,Pag*mercadoobaoba,19.49,2025-03-06
Celular,2022-11-12,Vivo Easy,29.99,2025-03-06
Alimentação,2022-11-12,Supermercado-ct A Das,119.74,2025-03-06
Restaurante,2022-11-12,Ifood       *ifood,44.9,2025-03-06
Restaurante,2022-11-12,Ifood       *ifood,4.1,2025-03-06
Utilidade Casa,2022-11-12,Mundo Da Uti-ct De01/02,70.36,2025-03-06
Restaurante,2022-11-15,Ifood       *ifood,36.42,2025-03-06
Restaurante,2022-11-16,Pag*mercadoo-ct A,31.97,2025-03-06
Celular,2022-11-17,Ppro   *microsoft,29.99,2025-03-06
Alimentação,2022-11-19,Quitanda Ana-ct Olina,29.1,2025-03-06
Restaurante,2022-11-19,Ifood       *ifood,50.96,2025-03-06
Restaurante,2022-11-20,Grao Do Ipir-ct,49.65,2025-03-06
Restaurante,2022-11-23,Ifood       *ifood,45.69,2025-03-06
Restaurante,2022-11-25,Ifood       *ifood,34.33,2025-03-06
Restaurante,2022-11-25,Ifood       *ifood,47.57,2025-03-06
Restaurante,2022-11-25,Ifood       *ifood,4.1,2025-03-06
Pet,2022-10-01,Precolandia,-0.02,2025-03-06
Utilidade Casa,2022-10-01,Precolandia       02/03,38.54,2025-03-06
Alimentação,2022-10-26,Cornershop Brasil Tecn,145.19,2025-03-06
Pet,2022-11-02,Clin Vet Pets Isla01/02,94.0,2025-03-06
Pet,2022-11-14,Pet Mais,33.8,2025-03-06
Alimentação,2022-11-14,Cornershop Brasil Tecn,81.15,2025-03-06
Alimentação,2022-11-17,Cornershop Brasil Tecn,107.64,2025-03-06
Alimentação,2022-11-17,Cornershop Brasil Tecn,16.84,2025-03-06
Alimentação,2022-11-17,Cornershop Brasil Tecn,272.23,2025-03-06
Restaurante,2022-11-18,Ifood       *ifood,35.78,2025-03-06
Restaurante,2022-11-18,Ifood       *ifood,81.9,2025-03-06
Alimentação,2022-11-23,Cornershop Brasil Tecn,8.48,2025-03-06
Alimentação,2022-11-23,Cornershop Brasil Tecn,148.1,2025-03-06
Alimentação,2022-11-24,Cornershop Brasil Tecn,76.35,2025-03-06
Planos,2022-09-09,Mercadolivre*merca03/06,16.65,2025-03-06
Utilidade Casa,2022-09-27,Amazon.com.br,-0.15,2025-03-06
Eletrônico,2022-09-27,Mercadolivre*mercadol,-0.1,2025-03-06
Utilidade Casa,2022-09-27,Pg *flash Compras 02/04,50.49,2025-03-06
Utilidade Casa,2022-09-27,Amazon.com.br     02/06,54.12,2025-03-06
Manutenção,2022-09-27,Amazon.com.br     02/02,72.07,2025-03-06
Eletrônico,2022-09-27,Mercadolivre*merca02/06,12.13,2025-03-06
Utilidade Casa,2022-10-03,Openbox 2         02/03,58.77,2025-03-06
Pet,2022-10-03,Openbox 2,-0.02,2025-03-06
Eletrônico,2022-10-04,Mercadolivre*merca02/06,14.64,2025-03-06
Outros,2022-10-05,Ebw*shopee        02/03,20.01,2025-03-06
Outros,2022-10-07,Mercadolivre*merca02/03,6.64,2025-03-06
Pet,2022-10-07,Mercadolivre*mercadol,-0.02,2025-03-06
