lancamento,categoria
CORNERSHOP,Alimentação
Market4u*compra*104566,Alimentação
MARKET4U*COMPRA*170196,Alimentação
PAG*MARKET4U,Alimentação
UBER *EATS HELP.UBER.COM,Alimentação
JAFELIZMERCADOS,Alimentação
Market4u*compra*105112,Alimentação
IFOOD       *IFOOD,Alimentação
Pag*Luizcarlosdos,Alimentação
COPA RIO ACOUGUE,Alimentação
MERCADO OBA OBA LTDA M,Alimentação
Market4u*compra*105112,Alimentação
Cornershop Brasil Tecn,Alimentação
MARTA LUCIA LEAND,Alimentação
MERCADO OBA OBA LTDA M,Alimentação
Pag*Market4u,Alimentação
MARKET4U,Alimentação
Naldo Feirante,Alimentação
Market4u*compra*120871,Alimentação
KALUNGA SHOPPING,Alimentação
IFD*ARCOS DOURADOS COMERC,Alimentação
AMAZON BR,Alimentação
PAO DE ACUCAR 1717 RIC,Alimentação
PAG*MERCADOOBAOBA,Alimentação
Betocacherro-ct,Alimentação
Quintoandar       02/05,Aluguel
Mercadolivre*Mabbiaso,Aluguel
Mercadolivre*Lagosvar - Parcela 1/5,Aluguel
Quintoandar       05/05,Aluguel
Pg *Leroy Merlin Leroy,Aluguel
Quintoandar       04/05,Aluguel
Mercadolivre*Mabbiaso,Aluguel
Pg *Leroy Merlin Leroy,Aluguel
Mercadolivre*Lagosvar - Parcela 1/5,Aluguel
Quintoandar       03/05,Aluguel
Amazon Prime Canais,Assinatura
Google Storage,Assinatura
DL*GOOGLE YOUTUB,Assinatura
Google Storage,Assinatura
Anuidade Diferenci02/08,Assinatura
Google Youtubepremium,Assinatura
Google Youtubepremium,Assinatura
Google Youtubepremium,Assinatura
Anuidade Diferenci05/08,Assinatura
Google Youtubepremium,Assinatura
Anuidade Diferenci07/08,Assinatura
Viena Shoppi-ct Laza S,Assinatura
Credito Anuidade Difere,Assinatura
A MEDIUM CORPORATION,Assinatura
Google Youtube Member,Assinatura
Jusbrasil,Assinatura
Google A Medium Corp,Assinatura
Google Storage,Assinatura
A MEDIUM CORPORATION,Assinatura
IFD*IFOOD CLUB,Assinatura
JUSBRASIL,Assinatura
Google Storage,Assinatura
Google Youtubepremium,Assinatura
DL*GOOGLE YOUTUB,Assinatura
Anuidade Diferenci08/08,Assinatura
VIVO EASY,Celular
Vivo Easy,Celular
Vivo Easy,Celular
VIVO EASY,Celular
Vivo Easy,Celular
Ppro   *microsoft,Celular
Vivo Easy,Celular
VIVO EASY,Celular
Vivo Easy,Celular
Vivo Easy,Celular
VIVO EASY,Celular
Vivo Easy,Celular
Vivo Easy,Celular
Vivo Easy,Celular
VIVO EASY,Celular
VIVO EASY,Celular
VIVO EASY,Celular
VIVO EASY,Celular
Vivo Easy,Celular
VIVO EASY,Celular
Vivo Easy,Celular
Vivo Easy,Celular
Vivo Easy*Easy Prime,Celular
Vivo Easy,Celular
Vivo Easy,Celular
CENTRO A A M LTDA,Combustível
CENTRO AUTOMOTIVO AB,Combustível
CENTRO AUTOMOTIVO AB,Combustível
CENTRO A A M LTDA,Combustível
CENTRO A A M LTDA,Combustível
POSTO ALCATRAZES DE BO,Combustível
CENTRO AUTOMOTIVO AB,Combustível
ECO POSTO BANDEIRANTES,Combustível
ECO POSTO BANDEIRANTES,Combustível
CENTRO AUTOMOTIVO AB,Combustível
CENTRO A A M LTDA,Combustível
CENTRO A A M LTDA,Combustível
REDE CAMPEAO,Combustível
Centro A A M Ltda,Combustível
REDE CAMPEAO,Combustível
Centro A A M Ltda,Combustível
CENTRO AUTOMOTIVO AB,Combustível
ECO POSTO BANDEIRANTES,Combustível
CENTRO AUTOMOTIVO AB,Combustível
CENTRO A A M LTDA,Combustível
CENTRO AUTOMOTIVO AB,Combustível
CENTRO AUTOMOTIVO AB,Combustível
CENTRO AUTOMOTIVO AB,Combustível
Posto Invicto,Combustível
Centro Automotivo Ab,Combustível
"IOF de ""Datacamp Inc.""",Curso
"IOF de ""Coursera.Org""",Curso
AMAZON WEB SERVICES,Curso
Datacamp Inc.,Curso
COURSERA.ORG,Curso
COURSRA*7Z20LY32FNLYZV,Curso
COURSRA*7Z20LY32FNLYZV,Curso
DATACAMP INC.,Curso
